CustomerID,Recency,Frequency,Monetary,F_Rank,R_Score,F_Score,M_Score,Segment
12346.0,326,1,77183.6,1.0,1,1,5,Dormant
12347.0,2,7,4310.0,3644.0,5,5,5,High Value
12348.0,75,4,1437.24,2840.0,2,4,4,At-Risk
12349.0,19,1,1457.55,2.0,4,1,4,At-Risk
12350.0,310,1,294.4,3.0,1,1,2,Dormant
12352.0,36,7,1385.74,3645.0,3,5,4,At-Risk
12353.0,204,1,89.0,4.0,1,1,1,Dormant
12354.0,232,1,1079.4,5.0,1,1,4,Dormant
12355.0,214,1,459.4,6.0,1,1,2,Dormant
12356.0,23,3,2487.43,2338.0,4,3,5,At-Risk
12357.0,33,1,6207.67,7.0,4,1,5,At-Risk
12358.0,2,2,928.0600000000001,1507.0,5,2,4,At-Risk
12359.0,58,4,6310.03,2841.0,3,4,5,At-Risk
12360.0,52,3,2302.06,2339.0,3,3,5,At-Risk
12361.0,287,1,174.9,8.0,1,1,1,Dormant
12362.0,3,10,4737.23,3950.0,5,5,5,High Value
12363.0,110,2,552.0,1508.0,2,2,3,At-Risk
12364.0,8,4,1208.1,2842.0,5,4,4,Loyal
12365.0,291,1,320.69,9.0,1,1,2,Dormant
12367.0,4,1,150.9,10.0,5,1,1,At-Risk
12370.0,51,4,3421.94,2843.0,3,4,5,At-Risk
12371.0,60,1,1527.96,11.0,3,1,4,At-Risk
12372.0,72,3,1196.04,2340.0,3,3,4,At-Risk
12373.0,311,1,324.6,12.0,1,1,2,Dormant
12374.0,25,1,622.93,13.0,4,1,3,At-Risk
12375.0,11,2,377.5,1509.0,5,2,2,At-Risk
12377.0,315,2,1548.12,1510.0,1,2,4,At-Risk
12378.0,130,1,4008.62,14.0,2,1,5,At-Risk
12379.0,82,2,777.24,1511.0,2,2,3,At-Risk
12380.0,22,4,2427.81,2844.0,4,4,5,Loyal
12381.0,5,3,1474.81,2341.0,5,3,4,At-Risk
12383.0,185,5,1628.56,3234.0,1,4,4,At-Risk
12384.0,29,2,425.27000000000004,1512.0,4,2,2,At-Risk
12386.0,338,2,401.9,1513.0,1,2,2,At-Risk
12388.0,16,6,2780.66,3471.0,4,5,5,Loyal
12390.0,80,1,504.84000000000003,15.0,2,1,3,At-Risk
12391.0,22,1,439.66,16.0,4,1,2,At-Risk
12393.0,72,4,1582.6000000000001,2845.0,3,4,4,At-Risk
12394.0,64,2,1080.48,1514.0,3,2,4,At-Risk
12395.0,19,12,2682.63,4058.0,4,5,5,Loyal
12397.0,36,2,2214.9,1515.0,3,2,5,At-Risk
12398.0,46,1,1435.66,17.0,3,1,4,At-Risk
12399.0,119,4,1033.65,2846.0,2,4,4,At-Risk
12401.0,303,1,69.3,18.0,1,1,1,Dormant
